"Client ID","TransactionType","Transaction Date","Priority Flag","Amount"
"AP","BUY","11/03/2013","Y","500.0"
"AP","BUY","11/09/2013","Y","500.0"
"AP","BUY","11/12/2013","Y","500.0"
"AP","DEPOSIT","11/06/2013","Y","500.0"
"AP","DEPOSIT","11/19/2013","Y","500.0"
"AP","SELL","11/25/2013","Y","500.0"
"AS","BUY","11/06/2013","N","50.0"
"AS","DEPOSIT","11/02/2013","N","50.0"
"AS","SELL","11/07/2013","N","100.0"
"AS","SELL","11/10/2013","N","100.0"
"AS","SELL","11/13/2013","N","100.0"
"AS","SELL","11/20/2013","N","100.0"
"GS","BUY","11/08/2013","Y","500.0"
"GS","BUY","11/23/2013","Y","500.0"
"GS","DEPOSIT","11/11/2013","Y","500.0"
"GS","WITHDRAW","11/01/2013","Y","500.0"
"GS","WITHDRAW","11/05/2013","Y","500.0"
"GS","WITHDRAW","11/26/2013","Y","500.0"
"HJ","SELL","11/04/2013","N","100.0"
"HJ","WITHDRAW","11/30/2013","N","100.0"
